start_frame;end_frame;narration
22360;22417;put down cutting board
22512;22582;put down knife
22642;22681;open drawer
22805;22888;take spatula
22876;22938;close drawer
22990;23224;stir aubergine
23232;23281;put down aubergine
23280;23580;pour salt
23280;23344;take salt
23339;23446;open salt
23571;23614;close salt
23617;23673;put down salt
23694;24342;stir aubergine
24321;24404;put down spatula
24447;24507;take container
24513;24588;open container
24609;24714;take onion
24729;24772;put down onion
24750;24926;cut onion
24751;24804;take knife
24932;25030;put onion into container
25047;25182;close container
25302;25706;cut onion
25689;25779;open container
25779;25843;put onion into container
25836;25990;close container
25971;26715;slice onion
26529;27334;continue slicing onion
27413;28128;chop onion
27502;28426;continue chopping onion
28423;28495;put down knife
28498;28640;take onion bits
28629;28747;take spatula
28739;29098;stir
29393;29456;put down spatula
29541;29601;take container
29823;29896;open fridge
29903;29979;put container into fridge
29958;30046;close fridge
30134;30206;take bottle
30270;30534;open bottle
30587;30710;open drawer
30894;31179;take corkscrew
31226;32460;open bottle
32525;32950;take cork
33043;33114;open drawer
33081;33111;put down bottle opener
33115;33169;close drawer
33274;33336;take bottle
33370;33428;put down bottle
33429;33486;take cork
33552;33636;open bin
33757;33797;take spatula
33817;34107;stir aubergine
34087;34170;adjust hob
34176;35641;stir aubergine
35608;35704;put down spatula
35787;35862;take kettle
36021;36915;pour water into saucepan
37072;37128;put down kettle
37267;37325;take spatula
37312;38027;stir aubergine
38038;38188;take cutting board
38164;38338;pour onion into pan
38404;38494;put down cutting board
38545;38623;adjust hob
38650;38947;stir food
38894;40303;continue stirring food
40219;40280;put down spatula
40334;40398;take salt
40415;40494;open salt
40481;40560;open drawer
40589;40649;take spoon
40655;40702;close drawer
40747;40917;pour salt
40923;41028;stir salt
41011;41094;close salt
41080;41139;put down spoon
41145;41209;put down salt
41227;41296;take spatula
41301;42051;stir food
42067;42098;put down spatula
42113;42179;open drawer
42382;42495;move bottle
42501;42565;move glass
42571;42735;put down table cloth
42933;43012;move plates
43018;43117;move container
43108;43191;put down table cloth
43281;43408;put down container
43421;43491;open cupboard
43503;43640;take plates
43635;43681;close cupboard
43716;43797;put down plates
43850;43983;put down plates
44064;44133;open drawer
44145;44655;take cutlery
44676;44721;close drawer
44815;45412;put down cutlery
44970;45075;move chair
45081;45156;move chair
45289;45424;put down cutlery
45498;45584;take spatula
45564;45969;stir food
45975;46095;adjust hob
46086;46131;put down spatula
46137;46221;take tomato sauce
46203;46293;open sauce
46322;47374;pour sauce
46630;47380;continue pouring sauce
47392;47443;put down sauce
47474;48911;stir food
48010;49546;continue stirring food
49558;49605;put down spatula
49601;49794;take pasta
49777;49839;open drawer
49835;49894;take scissor
49897;50047;cut pasta bag
50053;50128;put scissor into drawer
50165;50232;close drawer
50194;50462;take pasta out of the bag
50468;50635;pour pasta
50956;51196;pour pasta
51549;51684;throw plastic bag into bin
51748;52048;open drawer
52182;52227;close drawer
52233;52963;stir pasta
53013;53092;put down spatula
53078;53176;take spatula
53133;53652;stir food
53647;53765;take lid
53658;53703;put down spatula
53729;53767;take bottle
53793;53889;put down bottle
53895;54219;move things
54225;54307;take bottle
54313;54444;move container
54471;54513;turn on tap
54481;54849;rinse bottle
54601;54816;rinse sauce
54835;54882;turn off tap
54973;55041;take lid
55159;55325;put lid and bottle into bins
55513;55618;dry hands
55624;55736;take containers
55816;55887;take spatula
55872;56284;stir food
56295;56342;put down spatula
56431;56523;open cupboard
56613;56792;take glass
56798;56952;take glass
57039;57141;take glass
57146;57209;put down glass
57209;57292;close cupboard
57410;57466;put down glass
57558;57617;take glasses
57751;57812;put down glasses
57862;57920;take wine bottle
57997;58482;pour wine into glass
58554;58932;pour wine into glass
58993;59086;put down bottle
59125;59290;move glasses
59311;59433;move glass
59560;59634;take spatula
59640;60543;stir food
60517;60567;put down spatula
60543;60599;take spatula
60667;61438;stir pasta
61220;61590;taste pasta
61764;61924;put down spatula
61920;62023;take spatula
62026;62313;stir food
62334;62385;check time
62395;62774;stir food
62750;62808;put down spatula
62862;62974;turn off hob
63200;63271;lift saucepan
63277;63448;put down saucepan
63549;63617;put colander into sink
63549;63597;take colander
63766;63856;take saucepan
64017;64248;drain pasta
64730;65505;continue draining pasta
65244;65904;continue draining pasta
66030;66225;pour pasta into pan
66264;66342;put colander into sink
66389;66479;take mozzarella
66485;66568;open mozzarella bag
66829;66947;sprinkle mozzarella
66900;66946;take spatula
66952;67004;take spatula
67010;68695;stir pasta
67825;68893;continue stirring pasta
68963;69201;sprinkle mozzarella
69179;69235;take spatula
69228;70222;stir pasta
70020;70980;continue stirring pasta
71015;71323;sprinkle mozzarella
71326;72738;stir pasta
71865;72714;continue stirring pasta
72726;72771;put down spatula
72836;72896;take plate
72931;72980;put down spatula
73006;73115;put down plate
73080;73155;put down spoon
73145;73325;take spatula
73531;73926;pour pasta onto plate
74488;74569;take plate
74585;74767;put down plate
74603;74782;move plate
75110;75342;pour pasta onto plate
75637;76198;pour pasta onto plate
76064;76459;pour pasta onto place
76485;76659;put down saucepan
77203;77286;put down spatulas
77240;77412;take pan and spatulas
77441;77561;put down pan and spatulas
77590;77892;take pasta
78059;78164;open bin
78072;78162;throw pasta into bin
78135;78177;close bin
78350;78423;turn on tap
78415;78596;wash hands
78602;78907;rinse spatula
78919;78957;close tap
79020;79164;dry hands
79169;79221;hang cloth
79249;79374;close mozzarella bag
79380;79958;fold mozzarella bag
79603;79743;open drawer
79699;79934;take clip
79940;79996;put clip on bag
80072;80151;close drawer
80238;80328;open fridge
80360;80415;put mozzarella into fridge
80421;80497;close fridge
80611;80722;take plates
80803;80861;put down plates
80914;81051;put down plates
