start_frame;end_frame;narration
36420;37108;continue rinsing cutting board
37102;37132;turn off tap
37138;37286;drain cutting board
37331;37451;put down cutting board
37600;37692;squeeze sponge
37699;37733;put down sponge
37762;37939;take pasta
37945;38251;squeeze pasta
38604;38683;open bin
38669;38707;throw pasta into bin
38703;38735;close bin
38843;38884;take washing up liquid
38890;38949;open cupboard
38989;39114;dry hands
39120;39299;take cleansing
40273;40599;wipe counter
40634;41305;wipe cooker
41359;41444;take sponge
41478;42028;wipe cooker
42042;42089;put down sponge
42062;42150;take cloth
42147;42561;wipe cooker
42602;42778;wipe counter
42783;42855;open bin
42859;42932;throw something into bin
43073;43163;turn on tap
43162;43512;wash cloth
43518;43563;turn off tap
43580;43730;squeeze cloth
43771;45167;wipe cooker
44530;45880;continue wiping cooker
45958;46055;turn on tap
46008;46221;wash cloth
46194;46254;turn off tap
46260;46380;squeeze cloth
46459;47302;wipe cooker
47321;47597;wipe counter
47661;48424;wipe counter
48442;48696;wash sponge
48450;48510;turn on tap
48550;49010;wash cloth
48660;48742;put down sponge
48748;48856;wash sink
48862;49151;squeeze cloth
49147;49612;wipe counter
49510;49872;continue wiping counter
49843;50424;wipe sink
50221;50859;continue wiping sink
50822;50931;put down sponges
50916;51526;squeeze clothe
51015;51090;turn on tap
51085;51319;wash cloth
51330;51367;turn off tap
51393;51484;squeeze cloth
51533;52186;wipe counter
52192;52400;wipe sink
52399;52456;put down soap
52479;52565;move washing up liquid
52743;52834;turn on tap
52856;53058;wash cloth
53085;53122;put down cloth
53121;53620;wash hands
53614;53656;turn off tap
53797;54217;dry hands
54223;54283;hang cloth
54315;54444;move chair
54629;54778;move chair
54806;54907;take glass
54899;55328;pour wine
55334;55416;put down bottle
